id_achat,id_client,date_achat,montant,produit
1,1,2025-11-12 06:56:35,387.02,Mouse
2,1,2025-09-24 12:49:09,256.42,Mouse
3,1,2025-05-23 20:46:04,483.47,Headphones
4,1,2025-08-03 12:42:29,402.62,Tablet
5,1,2025-08-16 11:17:43,437.77,Laptop
6,1,2025-08-15 06:13:38,324.18,Keyboard
7,1,2025-06-21 18:12:36,281.72,Phone
8,1,2025-04-17 20:57:58,358.59,Speaker
9,1,2025-12-20 01:52:37,427.07,Monitor
10,1,2025-06-26 08:07:30,51.1,Tablet
11,1,2025-07-31 15:04:09,143.67,Speaker
12,1,2025-11-10 09:02:21,82.2,Mouse
13,1,2025-07-19 14:52:50,54.94,Headphones
14,1,2025-05-11 15:14:39,410.18,Keyboard
15,1,2025-12-07 07:03:27,465.93,Mouse
16,2,2026-01-14 12:19:23,204.26,Keyboard
17,2,2025-07-14 00:07:20,125.53,Phone
18,3,2025-03-22 09:56:07,120.02,Keyboard
19,3,2026-01-14 06:21:35,466.1,Keyboard
20,3,2025-12-25 15:01:33,397.78,Tablet
21,3,2025-03-30 10:29:22,28.77,Webcam
22,3,2025-06-24 19:39:58,351.08,Tablet
23,3,2025-05-12 11:02:42,381.83,Webcam
24,3,2025-01-21 17:59:45,229.81,Laptop
25,3,2025-08-15 07:41:37,453.87,Laptop
26,3,2025-12-08 17:48:14,135.4,Tablet
27,3,2025-05-30 04:30:22,278.91,Charger
28,3,2025-11-12 17:57:29,268.61,Phone
29,3,2025-07-19 15:52:59,390.32,Headphones
30,4,2025-10-02 07:01:45,69.71,Headphones
31,4,2025-03-28 08:34:06,215.71,Charger
32,4,2025-10-12 20:11:22,233.99,Phone
33,4,2026-01-07 19:21:36,419.98,Webcam
34,4,2025-02-27 15:19:37,302.4,Laptop
35,4,2025-06-18 08:00:08,319.66,Charger
36,4,2025-09-02 18:21:08,128.55,Tablet
37,4,2025-10-01 02:15:43,152.72,Laptop
38,4,2025-07-01 19:51:46,311.26,Headphones
39,4,2025-07-01 21:26:40,289.63,Tablet
40,5,2025-06-28 19:06:17,337.43,Speaker
41,5,2025-04-03 19:19:53,487.58,Phone
42,5,2025-09-24 14:43:28,477.17,Speaker
43,5,2025-01-31 17:34:16,258.59,Speaker
44,5,2025-09-17 19:13:53,281.53,Mouse
45,5,2025-04-17 12:30:57,437.93,Laptop
46,5,2025-03-15 06:28:28,321.48,Keyboard
47,5,2025-09-14 05:45:42,134.29,Laptop
48,5,2025-09-18 04:57:55,184.98,Phone
49,5,2025-08-03 22:33:22,178.95,Phone
50,5,2025-02-20 17:15:28,388.04,Keyboard
51,5,2025-09-10 07:16:11,75.37,Keyboard
52,5,2025-08-30 01:07:27,277.55,Tablet
53,5,2025-10-31 19:00:12,416.89,Webcam
54,5,2025-06-28 04:57:03,490.6,Webcam
55,5,2025-01-29 07:42:51,319.55,Tablet
56,5,2025-05-26 16:17:53,40.92,Webcam
57,5,2025-09-14 06:45:14,28.12,Headphones
58,5,2025-04-27 12:30:22,31.47,Headphones
59,5,2025-03-26 02:23:54,444.04,Keyboard
60,5,2025-08-29 13:12:26,467.35,Speaker
61,5,2025-09-20 08:55:35,205.13,Speaker
62,6,2025-07-22 17:26:32,134.12,Headphones
63,6,2025-10-13 05:36:55,150.19,Laptop
64,6,2025-02-24 18:45:29,434.24,Keyboard
65,6,2025-06-13 06:17:51,143.88,Keyboard
66,6,2025-01-29 06:39:02,224.11,Mouse
67,6,2025-11-04 23:49:43,374.22,Mouse
68,6,2025-09-10 23:48:30,176.13,Tablet
69,6,2025-12-29 13:49:21,253.14,Webcam
70,6,2025-11-23 05:06:12,190.0,Speaker
71,6,2025-10-01 11:41:34,140.69,Phone
72,6,2025-06-20 15:47:43,366.27,Phone
73,6,2025-08-22 20:26:13,221.0,Tablet
74,6,2025-08-07 00:52:52,277.28,Keyboard
75,6,2025-12-21 18:43:02,60.27,Keyboard
76,6,2025-04-05 10:04:26,333.85,Monitor
77,6,2025-12-16 16:20:37,228.5,Mouse
78,7,2026-01-10 02:35:36,347.98,Keyboard
79,7,2025-03-24 03:03:11,229.09,Keyboard
80,7,2025-07-17 05:36:17,311.28,Mouse
81,7,2025-06-12 18:49:05,144.53,Laptop
82,7,2025-10-28 06:17:53,46.77,Mouse
83,7,2025-12-26 03:13:12,188.02,Tablet
84,8,2025-04-23 09:28:11,79.96,Charger
85,9,2025-03-29 11:58:27,392.84,Laptop
86,9,2025-07-22 19:49:20,71.85,Headphones
87,9,2026-01-19 09:40:32,391.47,Keyboard
88,9,2025-10-24 06:35:50,187.45,Charger
89,9,2026-01-13 06:49:35,25.87,Tablet
90,9,2025-04-08 01:01:24,342.74,Keyboard
91,9,2025-05-25 18:53:49,192.29,Phone
92,9,2025-03-12 23:16:39,291.22,Speaker
93,9,2025-05-14 05:40:43,189.81,Keyboard
94,9,2025-02-14 14:59:19,328.28,Headphones
95,9,2026-01-02 19:43:38,480.65,Laptop
96,9,2025-02-01 10:48:10,370.48,Webcam
97,9,2025-04-10 20:20:13,263.7,Speaker
98,9,2025-09-01 18:31:57,67.7,Monitor
99,9,2025-07-18 13:23:41,354.98,Headphones
100,9,2025-07-17 18:52:39,498.22,Monitor
101,9,2025-04-25 14:53:33,350.05,Webcam
102,9,2025-10-12 23:09:57,108.09,Tablet
103,9,2025-09-11 17:34:39,427.88,Webcam
104,9,2025-07-11 18:02:12,94.6,Webcam
105,9,2025-04-24 09:24:30,498.66,Keyboard
106,9,2025-11-25 21:10:15,337.24,Phone
107,10,2025-03-30 03:30:39,275.66,Monitor
108,10,2025-07-18 15:30:25,427.17,Tablet
109,10,2025-08-02 17:13:50,398.91,Speaker
110,10,2025-09-26 12:58:38,119.88,Headphones
111,10,2025-03-04 14:57:01,398.11,Headphones
112,10,2025-11-28 13:47:41,397.28,Laptop
113,10,2025-09-12 00:38:26,186.84,Charger
114,10,2025-12-11 20:27:16,190.77,Speaker
115,10,2025-05-29 02:26:57,73.59,Phone
116,10,2025-12-25 03:18:54,42.22,Mouse
117,10,2026-01-12 19:21:47,499.8,Webcam
118,10,2026-01-08 10:15:08,267.59,Mouse
119,10,2025-03-23 07:21:41,413.44,Phone
120,10,2025-04-25 13:10:56,71.41,Keyboard
121,10,2025-07-18 23:01:10,324.75,Webcam
122,10,2025-10-27 20:50:54,238.26,Speaker
123,10,2025-02-16 13:51:59,178.81,Speaker
124,10,2025-01-23 03:02:47,323.5,Tablet
125,11,2025-11-07 04:25:37,483.47,Mouse
126,11,2025-02-02 00:09:27,256.4,Laptop
127,11,2025-10-12 07:48:36,417.38,Speaker
128,11,2025-10-10 07:47:50,84.98,Tablet
129,11,2025-06-27 06:18:54,89.36,Headphones
130,11,2025-12-23 04:29:58,179.55,Speaker
131,11,2025-08-10 07:28:25,448.51,Phone
132,11,2025-07-22 01:33:25,132.8,Speaker
133,11,2025-12-21 06:53:12,144.48,Monitor
134,11,2025-06-19 02:17:27,311.07,Phone
135,11,2025-02-16 18:44:40,256.26,Tablet
136,11,2025-11-20 13:22:36,299.99,Charger
